match_id,team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_home_away,team2_home_away,winner,margin,margin_type,time_of_day,series,player_of_match,player_of_match_team,venue,toss,toss_decision,ball_remaining,ground_city,ground,ground_country,match_date
ODI # 1331,England,South Africa,223,224,9,7,home,away,South Africa,3,wickets,Day,South Africa tour of England,Jacques Kallis,South Africa,"Kennington Oval, London",South Africa,field first,8,The Oval,London,England,21-05-1998
ODI # 1332,South Africa,England,226,194,9,10,away,home,South Africa,32,runs,Day,South Africa tour of England,Lance Klusener,South Africa,"Old Trafford, Manchester",England,field first,,Manchester,Stretford,England,23-05-1998
ODI # 1334,South Africa,England,205,206,8,3,away,home,England,7,wickets,Day,South Africa tour of England,Ali Brown,England,"Headingley, Leeds",South Africa,bat first,90,Leeds,Leeds,England,24-05-1998
ODI # 1335,Bangladesh,India,115,116,10,5,away,home,India,5,wickets,Day and night,Coca-Cola Triangular Series,Anil Kumble,India,"Wankhede Stadium, Mumbai",Bangladesh,bat first,124,Mumbai,Mumbai,India,25-05-1998
ODI # 1336,Kenya,India,265,196,5,10,away,home,Kenya,69,runs,Day and night,Coca-Cola Triangular Series,Maurice Odumbe,Kenya,"Captain Roop Singh Stadium, Gwalior",Kenya,bat first,,Gwalior,Gwalior,India,28-05-1998
ODI # 1337,Kenya,India,196,197,10,1,away,home,India,9,wickets,Day and night,Coca-Cola Triangular Series,Sachin Tendulkar,India,"Eden Gardens, Calcutta",Kenya,bat first,90,Kolkata,Kolkata,India,31-05-1998
ODI # 1338,Sri Lanka,India,243,246,6,2,home,away,India,8,wickets,Day and night,Singer-Akai Nidahas Trophy,Sourav Ganguly,India,"R Premadasa Stadium, Colombo",Sri Lanka,bat first,38,Colombo (RPS),Khettarama,Sri Lanka,19-06-1998
ODI # 1339,New Zealand,Sri Lanka,200,201,9,3,away,home,Sri Lanka,7,wickets,Day and night,Singer-Akai Nidahas Trophy,Marvan Atapattu,Sri Lanka,"R Premadasa Stadium, Colombo",New Zealand,bat first,60,Colombo (RPS),Khettarama,Sri Lanka,21-06-1998
ODI # 1341,Sri Lanka,India,171,163,8,10,home,away,Sri Lanka,8,runs,Day,Singer-Akai Nidahas Trophy,Aravinda de Silva,Sri Lanka,"Sinhalese Sports Club Ground, Colombo",India,field first,,Colombo (SSC),Colombo,Sri Lanka,01-07-1998
ODI # 1343,Sri Lanka,New Zealand,293,206,4,10,home,away,Sri Lanka,87,runs,Day,Singer-Akai Nidahas Trophy,Arjuna Ranatunga,Sri Lanka,"Sinhalese Sports Club Ground, Colombo",New Zealand,field first,,Colombo (SSC),Colombo,Sri Lanka,05-07-1998
